start,end,text
00:00,00:02,比賽即將開始！
00:02,00:04,球員們已經就位，準備開球。
00:05,00:07,哇！漂亮的傳球！
00:07,00:09,他快速突破防守，直奔禁區！
00:10,00:12,射門——進了！這是一個精彩的進球！
00:15,00:17,觀眾席上的歡呼聲震耳欲聾！
00:18,00:20,對手迅速發動反擊，他們的速度很快！
00:22,00:24,防守球員擋住了射門機會，漂亮的攔截！
00:25,00:27,現在是半場休息時間，雙方都有出色表現。
00:30,00:32,比賽進入下半場，讓我們拭目以待！
00:35,00:37,開球後，球隊迅速展開攻勢！
00:38,00:40,這是一個長傳，能接到嗎？
00:42,00:44,他接住了球，開始帶球前進！
00:45,00:47,防守隊員上前攔截，對抗非常激烈！
00:48,00:50,他們正在爭搶球權，這是關鍵時刻！
00:52,00:54,裁判吹哨！這是一次犯規！
00:55,00:57,自由球的機會來了，能否把握住？
01:00,01:02,球員起腳射門——哇，守門員神勇撲救！
01:03,01:05,比賽時間進入最後十分鐘，雙方都很拼！
01:06,01:08,最後一擊，這是制勝球嗎？
01:10,01:12,球進了！球隊逆轉比分，這是一場驚心動魄的比賽！
01:15,01:17,比賽結束！球迷們沸騰了，這將成為經典時刻！
